Product_ID,SKU,Category,Brand,Sub_Brand,Product_Name,Presentation,Pack_Quantity,Product_Description,Ingredients_List,Unit_Price
117,BEVARI0117,Beverages,Arizona,Arizona Green Tea,Arizona Green Tea 500 ml,500 ml,1,Energizing blend to keep you going throughout the day,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",1.9
114,BEVARI0114,Beverages,Arizona,Arizona Green Tea,Arizona Green Tea 6-pack,6-pack,6,Energizing blend to keep you going throughout the day. Convenient multi-pack for stocking up,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",5.92
121,BEVARI0121,Beverages,Arizona,Arizona Iced Tea,Arizona Iced Tea 1 gallon,1 gallon,1,Bold flavor and smooth finish,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",4.98
113,BEVCOC0113,Beverages,Coca-Cola,Coca-Cola Diet,Coca-Cola Diet 12 oz,12 oz,1,Refreshing taste that quenches your thirst,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",1.4
91,BEVCOC0091,Beverages,Coca-Cola,Coca-Cola Diet,Coca-Cola Diet 2L,2L,1,Bold flavor and smooth finish,"Carbonated Water, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (preservative), Aspartame, Acesulfame Potassium",3.1
107,BEVCOC0107,Beverages,Coca-Cola,Coca-Cola Zero,Coca-Cola Zero 20 oz,20 oz,1,Pure and refreshing hydration,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.96
111,BEVFAN0111,Beverages,Fanta,Fanta Grape,Fanta Grape 1 gallon,1 gallon,1,Bold flavor and smooth finish,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",5.17
106,BEVFAN0106,Beverages,Fanta,Fanta Grape,Fanta Grape 355 ml,355 ml,1,Energizing blend to keep you going throughout the day,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",1.34
98,BEVFAN0098,Beverages,Fanta,Fanta Orange,Fanta Orange 355 ml,355 ml,1,Classic taste that never gets old,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.33
119,BEVFAN0119,Beverages,Fanta,Fanta Orange,Fanta Orange 355 ml,355 ml,1,Bold flavor and smooth finish,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.17
122,BEVFAN0122,Beverages,Fanta,Fanta Orange,Fanta Orange 355 ml,355 ml,1,Refreshing taste that quenches your thirst,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",1.39
97,BEVFAN0097,Beverages,Fanta,Fanta Orange,Fanta Orange 6-pack,6-pack,6,Bold flavor and smooth finish. Convenient multi-pack for stocking up,"Carbonated Water, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (preservative), Aspartame, Acesulfame Potassium",5.81
118,BEVFAN0118,Beverages,Fanta,Fanta Strawberry,Fanta Strawberry 12 oz,12 oz,1,Perfectly balanced taste with real fruit flavor,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.41
129,BEVFAN0129,Beverages,Fanta,Fanta Strawberry,Fanta Strawberry 12 oz,12 oz,1,Perfectly balanced taste with real fruit flavor,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.57
115,BEVFAN0115,Beverages,Fanta,Fanta Strawberry,Fanta Strawberry 6-pack,6-pack,6,Bold flavor and smooth finish. Convenient multi-pack for stocking up,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",6.34
100,BEVGAT0100,Beverages,Gatorade,Gatorade Fruit Punch,Gatorade Fruit Punch 12-pack,12-pack,12,Classic taste that never gets old. Convenient multi-pack for stocking up,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",9.79
102,BEVGAT0102,Beverages,Gatorade,Gatorade Lemon-Lime,Gatorade Lemon-Lime 24-pack,24-pack,24,Delicious and satisfying refreshment. Convenient multi-pack for stocking up,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",19.65
103,BEVGAT0103,Beverages,Gatorade,Gatorade Lemon-Lime,Gatorade Lemon-Lime 500 ml,500 ml,1,Energizing blend to keep you going throughout the day,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",1.82
109,BEVGAT0109,Beverages,Gatorade,Gatorade Orange,Gatorade Orange 12 oz,12 oz,1,Energizing blend to keep you going throughout the day,"Water, Sugar, Dextrose, Citric Acid, Salt, Sodium Citrate, Monopotassium Phosphate, Natural and Artificial Flavor, Sucrose Acetate Isobutyrate, Glycerol Ester of Rosin, Yellow 5",1.54
99,BEVMIN0099,Beverages,Minute Maid,Minute Maid Apple Juice,Minute Maid Apple Juice 12 oz,12 oz,1,Crisp and invigorating beverage for any occasion,"Filtered Water, Orange Juice Concentrate, Natural Flavors, Citric Acid, Vitamin C (Ascorbic Acid), Vitamin D3",1.6
93,BEVMIN0093,Beverages,Minute Maid,Minute Maid Orange Juice,Minute Maid Orange Juice 2L,2L,1,Crisp and invigorating beverage for any occasion,"Filtered Water, Orange Juice Concentrate, Natural Flavors, Citric Acid, Vitamin C (Ascorbic Acid), Vitamin D3",3.21
105,BEVMON0105,Beverages,Monster,Monster Energy Original,Monster Energy Original 1 gallon,1 gallon,1,Crisp and invigorating beverage for any occasion,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors",5.39
127,BEVMON0127,Beverages,Monster,Monster Energy Ultra,Monster Energy Ultra 12-pack,12-pack,12,Pure and refreshing hydration. Convenient multi-pack for stocking up,"Carbonated Water, Erythritol, Taurine, Citric Acid, Natural Flavors, Panax Ginseng Extract, Caffeine, Sodium Citrate, L-Carnitine, Sucralose, Niacinamide, D-Calcium Pantothenate, Guarana Extract, Inositol, Pyridoxine HCl, Cyanocobalamin",9.88
130,BEVMON0130,Beverages,Monster,Monster Energy Ultra,Monster Energy Ultra 2L,2L,1,Refreshing taste that quenches your thirst,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors",2.86
101,BEVMON0101,Beverages,Monster,Monster Energy Ultra,Monster Energy Ultra 355 ml,355 ml,1,Classic taste that never gets old,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors",1.19
124,BEVMON0124,Beverages,Monster,Monster Energy Ultra,Monster Energy Ultra 355 ml,355 ml,1,Delicious and satisfying refreshment,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors",1.3
126,BEVMON0126,Beverages,Monster,Monster Energy Ultra,Monster Energy Ultra 6-pack,6-pack,6,Crisp and invigorating beverage for any occasion. Convenient multi-pack for stocking up,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors",6.12
104,BEVNES0104,Beverages,Nestlé,Nestlé Pure Life Water,Nestlé Pure Life Water 1 gallon,1 gallon,1,Refreshing taste that quenches your thirst,"Spring Water, Natural Minerals",5.1
110,BEVNES0110,Beverages,Nestlé,Nestlé Pure Life Water,Nestlé Pure Life Water 12 oz,12 oz,1,Classic taste that never gets old,"Purified Water, Magnesium Sulfate, Potassium Bicarbonate, Potassium Chloride",1.51
95,BEVNES0095,Beverages,Nestlé,Nestlé Pure Life Water,Nestlé Pure Life Water 2L,2L,1,Crisp and invigorating beverage for any occasion,"Purified Water, Magnesium Sulfate, Potassium Bicarbonate, Potassium Chloride",2.85
108,BEVNES0108,Beverages,Nestlé,Nestlé Pure Life Water,Nestlé Pure Life Water 500 ml,500 ml,1,Crisp and invigorating beverage for any occasion,"Spring Water, Natural Minerals",1.87
92,BEVPEP0092,Beverages,Pepsi,Pepsi Zero Sugar,Pepsi Zero Sugar 12-pack,12-pack,12,Delicious and satisfying refreshment. Convenient multi-pack for stocking up,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",10.76
125,BEVPEP0125,Beverages,Pepsi,Pepsi Zero Sugar,Pepsi Zero Sugar 1L,1L,1,Refreshing taste that quenches your thirst,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",2.64
123,BEVPEP0123,Beverages,Pepsi,Pepsi Zero Sugar,Pepsi Zero Sugar 2L,2L,1,Pure and refreshing hydration,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",2.8
96,BEVPEP0096,Beverages,Pepsi,Pepsi Zero Sugar,Pepsi Zero Sugar 355 ml,355 ml,1,Bold flavor and smooth finish,"Carbonated Water, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (preservative), Aspartame, Acesulfame Potassium",1.38
120,BEVRED0120,Beverages,Red Bull,Red Bull Original,Red Bull Original 6-pack,6-pack,6,Pure and refreshing hydration. Convenient multi-pack for stocking up,"Carbonated Water, Erythritol, Taurine, Citric Acid, Natural Flavors, Panax Ginseng Extract, Caffeine, Sodium Citrate, L-Carnitine, Sucralose, Niacinamide, D-Calcium Pantothenate, Guarana Extract, Inositol, Pyridoxine HCl, Cyanocobalamin",5.89
116,BEVSPR0116,Beverages,Sprite,Sprite Regular,Sprite Regular 12 oz,12 oz,1,Crisp and invigorating beverage for any occasion,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.49
112,BEVSPR0112,Beverages,Sprite,Sprite Zero,Sprite Zero 1 gallon,1 gallon,1,Delicious and satisfying refreshment,"Carbonated Water, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (preservative), Aspartame, Acesulfame Potassium",5.04
94,BEVSPR0094,Beverages,Sprite,Sprite Zero,Sprite Zero 355 ml,355 ml,1,Refreshing taste that quenches your thirst,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",1.21
128,BEVSPR0128,Beverages,Sprite,Sprite Zero,Sprite Zero 6-pack,6-pack,6,Energizing blend to keep you going throughout the day. Convenient multi-pack for stocking up,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (preservative), Potassium Sorbate (preservative)",5.7
133,DAICHO0133,Dairy and Refrigerated,Chobani,Chobani Greek Yogurt Plain,Chobani Greek Yogurt Plain 1 lb,1 lb,1,High-quality dairy product with natural ingredients,"Cultured Pasteurized Grade A Milk, Sugar, Strawberries, Modified Corn Starch, Kosher Gelatin, Natural Flavor, Citric Acid, Sodium Citrate, Red 40, Vitamin D3, Live and Active Cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",3.63
